PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
J	Yadav, V; Shitiz, K; Pandey, R; Yadav, J				Yadav, Vikas; Shitiz, Kirti; Pandey, Rishi; Yadav, Jyoti		Chlorophenol stress affects aromatic amino acid biosynthesis - a genome-wide study	YEAST																								0749-503X				JAN	2011	28	1				81	91		10.1002/yea.1825							WOS:000285789000008	
J	Lysoe, E; Pasquali, M; Breakspear, A; Kistler, HC				Lysoe, Erik; Pasquali, Matias; Breakspear, Andrew; Kistler, H. Corby		The Transcription Factor FgStuAp Influences Spore Development, Pathogenicity, and Secondary Metabolism in Fusarium graminearum	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				JAN	2011	24	1				54	67		10.1094/MPMI-03-10-0075							WOS:000285440600007	
J	Silla, CN; Freitas, AA				Silla, Carlos N., Jr.; Freitas, Alex A.		A survey of hierarchical classification across different application domains	DATA MINING AND KNOWLEDGE DISCOVERY																								1384-5810				JAN	2011	22	1-2				31	72		10.1007/s10618-010-0175-9							WOS:000286001100002	
J	Janga, SC; Diaz-Mejia, JJ; Moreno-Hagelsieb, G				Janga, S. C.; Diaz-Mejia, J. Javier; Moreno-Hagelsieb, G.		Network-based function prediction and interactomics: The case for metabolic enzymes	METABOLIC ENGINEERING																								1096-7176				JAN	2011	13	1				1	10		10.1016/j.ymben.2010.07.001							WOS:000285651100001	
J	de Bekker, C; Bruning, O; Jonker, MJ; Breit, TM; Wosten, HAB				de Bekker, Charissa; Bruning, Oskar; Jonker, Martijs J.; Breit, Timo M.; Wosten, Han A. B.		Single cell transcriptomics of neighboring hyphae of Aspergillus niger	GENOME BIOLOGY																								1474-760X					2011	12	8						R71	10.1186/gb-2011-12-8-r71							WOS:000296649500001	
J	Nilsson, J; Grahn, M; Wright, APH				Nilsson, Johan; Grahn, Mats; Wright, Anthony P. H.		Proteome-wide evidence for enhanced positive Darwinian selection within intrinsically disordered regions in proteins	GENOME BIOLOGY																								1474-760X					2011	12	7						R65	10.1186/gb-2011-12-7-r65							WOS:000296648400004	
J	Su, CH; Shih, CH; Chang, TH; Tsai, HK				Su, Chien-Hao; Shih, Ching-Hua; Chang, Tien-Hsien; Tsai, Huai-Kuang		Genome-wide analysis of the cis-regulatory modules of divergent gene pairs in yeast	GENOMICS																								0888-7543				DEC	2010	96	6				352	361		10.1016/j.ygeno.2010.08.008							WOS:000284819600004	
J	Gonzalez, EG; Krey, G; Espineira, M; Diez, A; Puyet, A; Bautista, JM				Gonzalez, Elena G.; Krey, Grigorios; Espineira, Montserrat; Diez, Amalia; Puyet, Antonio; Bautista, Jose M.		Population Proteomics of the European Hake (Merluccius merluccius)	JOURNAL OF PROTEOME RESEARCH																								1535-3893				DEC	2010	9	12				6392	6404		10.1021/pr100683k							WOS:000284856200027	
J	D'Ippolito, S; Martin, ML; Salcedo, MF; Atencio, HM; Casalongue, CA; Godoy, AV; Fiol, DF				D'Ippolito, Sebastian; Laura Martin, Maria; Florencia Salcedo, Maria; Marcelo Atencio, Hugo; Anahi Casalongue, Claudia; Veronica Godoy, Andrea; Fernando Fiol, Diego		Transcriptome profiling of Fusarium solani f. sp. eumartii -infected potato tubers provides evidence of an inducible defense response	PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY																								0885-5765				DEC	2010	75	1-2				3	12		10.1016/j.pmpp.2010.09.002							WOS:000284942600002	
J	Zou, CS; Yu, DQ				Zou Changsong; Yu Diqiu		Analysis of the Cold-Responsive Transcriptome in the Mature Pollen of Arabidopsis	JOURNAL OF PLANT BIOLOGY																								1226-9239				DEC	2010	53	6				400	416		10.1007/s12374-010-9129-4							WOS:000285372400004	
J	Oh, GD; Hwang, EM; Shim, EJ; Jeon, SJ; Park, YD				Oh, Gyu-Dong; Hwang, Eun-Mi; Shim, Eun-Jo; Jeon, Sang-Jin; Park, Young-Doo		EST Profiling for Seed-hair Characteristic and Development of EST-SSR and SNP Markers in Carrot	KOREAN JOURNAL OF HORTICULTURAL SCIENCE & TECHNOLOGY																								1226-8763				DEC	2010	28	6				1025	1038									WOS:000286557700017	
J	Greenwald, CJ; Kasuga, T; Glass, NL; Shaw, BD; Ebbole, DJ; Wilkinson, HH				Greenwald, Charles J.; Kasuga, Takao; Glass, N. Louise; Shaw, Brian D.; Ebbole, Daniel J.; Wilkinson, Heather H.		Temporal and Spatial Regulation of Gene Expression During Asexual Development of Neurospora crassa	GENETICS																								0016-6731				DEC	2010	186	4				1217	U260		10.1534/genetics.110.121780							WOS:000285297000012	
J	Ma, MG; Liu, ZL				Ma, Menggen; Liu, Z. Lewis		Comparative transcriptome profiling analyses during the lag phase uncover YAP1, PDR1, PDR3, RPN4, and HSF1 as key regulatory genes in genomic adaptation to the lignocellulose derived inhibitor HMF for Saccharomyces cerevisiae	BMC GENOMICS																								1471-2164				NOV 24	2010	11							660	10.1186/1471-2164-11-660							WOS:000285302800001	
J	Zhu, W; Hou, JY; Chen, YPP				Zhu, Wei; Hou, Jingyu; Chen, Yi-Ping Phoebe		Semantic and layered protein function prediction from PPI networks	JOURNAL OF THEORETICAL BIOLOGY																								0022-5193				NOV 21	2010	267	2				129	136		10.1016/j.jtbi.2010.08.005							WOS:000283334100001	
J	von Mandach, C; Merkl, R				von Mandach, Conrad; Merkl, Rainer		Genes optimized by evolution for accurate and fast translation encode in Archaea and Bacteria a broad and characteristic spectrum of protein functions	BMC GENOMICS																								1471-2164				NOV 4	2010	11							617	10.1186/1471-2164-11-617							WOS:000284606000001	
J	Wang, JX; Liu, BB; Li, M; Pan, Y				Wang, Jianxin; Liu, Binbin; Li, Min; Pan, Yi		Identifying protein complexes from interaction networks based on clique percolation and distance restriction	BMC GENOMICS																								1471-2164				NOV 2	2010	11			2				S10	10.1186/1471-2164-11-S2-S10							WOS:000289200100010	
J	He, CY; Zheng, SX; Zhang, JG; Duan, AG; Zeng, YF; Cui, K				He, Caiyun; Zheng, Shuxing; Zhang, Jianguo; Duan, Aiguo; Zeng, Yanfei; Cui, Kai		Clonal reproduction and natural variation of Populus canescens patches	TREE PHYSIOLOGY																								0829-318X				NOV	2010	30	11				1383	1390		10.1093/treephys/tpq083							WOS:000283688000003	
J	Horinouchi, T; Yoshikawa, K; Kawaide, R; Furusawa, C; Nakao, Y; Hirasawa, T; Shimizu, H				Horinouchi, Takaaki; Yoshikawa, Katsunori; Kawaide, Risa; Furusawa, Chikara; Nakao, Yoshihiro; Hirasawa, Takashi; Shimizu, Hiroshi		Genome-wide expression analysis of Saccharomyces pastorianus orthologous genes using oligonucleotide microarrays	JOURNAL OF BIOSCIENCE AND BIOENGINEERING																								1389-1723				NOV	2010	110	5				602	607		10.1016/j.jbiosc.2010.05.011							WOS:000285661200016	
J	Schinko, T; Berger, H; Lee, W; Gallmetzer, A; Pirker, K; Pachlinger, R; Buchner, I; Reichenauer, T; Guldener, U; Strauss, J				Schinko, Thorsten; Berger, Harald; Lee, Wanseon; Gallmetzer, Andreas; Pirker, Katharina; Pachlinger, Robert; Buchner, Ingrid; Reichenauer, Thomas; Gueldener, Ulrich; Strauss, Joseph		Transcriptome analysis of nitrate assimilation in Aspergillus nidulans reveals connections to nitric oxide metabolism	MOLECULAR MICROBIOLOGY																								0950-382X				NOV	2010	78	3				720	738		10.1111/j.1365-2958.2010.07363.x							WOS:000283377600016	
J	Arvas, M; Haiminen, N; Smit, B; Rautio, J; Vitikainen, M; Wiebe, M; Martinez, D; Chee, C; Kunkel, J; Sanchez, C; Nelson, MA; Pakula, T; Saloheimo, M; Penttila, M; Kivioja, T				Arvas, Mikko; Haiminen, Niina; Smit, Bart; Rautio, Jari; Vitikainen, Marika; Wiebe, Marilyn; Martinez, Diego; Chee, Christine; Kunkel, Joe; Sanchez, Charles; Nelson, Mary Anne; Pakula, Tiina; Saloheimo, Markku; Penttila, Merja; Kivioja, Teemu		Detecting novel genes with sparse arrays	GENE																								0378-1119				NOV 1	2010	467	1-2				41	51		10.1016/j.gene.2010.07.009							WOS:000283210000005	
J	Alkayal, F; Albion, RL; Tillett, RL; Hathwaik, LT; Lemos, MS; Cushman, JC				Alkayal, Fadi; Albion, Rebecca L.; Tillett, Richard L.; Hathwaik, Leyla T.; Lemos, Mark S.; Cushman, John C.		Expressed sequence tag (EST) profiling in hyper saline shocked Dunaliella salina reveals high expression of protein synthetic apparatus components	PLANT SCIENCE																								0168-9452				NOV	2010	179	5				437	449		10.1016/j.plantsci.2010.07.001							WOS:000282997300003	
J	Hartsperger, ML; Blochl, F; Stumpflen, V; Theis, FJ				Hartsperger, Mara L.; Bloechl, Florian; Stuempflen, Volker; Theis, Fabian J.		Structuring heterogeneous biological information using fuzzy clustering of k-partite graphs	BMC BIOINFORMATICS																								1471-2105				OCT 20	2010	11							522	10.1186/1471-2105-11-522							WOS:000284532400001	
J	Li, LM; Ching, WK; Chan, YM; Mamitsuka, H				Li, Limin; Ching, Waiki; Chan, Yatming; Mamitsuka, Hiroshi		On network-based kernel methods for protein-protein interactions with applications in protein functions prediction	JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY				3rd International Symposium on Optimization and Systems Biology	SEP 20-22, 2009	Zhangjiajie, PEOPLES R CHINA	Shanghai Univ, Univ Tokyo, Natl Nat Sci Fdn China	Chinese Acad Sci																1009-6124				OCT	2010	23	5				917	930		10.1007/s11424-010-0207-y							WOS:000284074000005	
J	Hacquard, S; Delaruelle, C; Legue, V; Tisserant, E; Kohler, A; Frey, P; Martin, F; Duplessis, S				Hacquard, Stephane; Delaruelle, Christine; Legue, Valerie; Tisserant, Emilie; Kohler, Annegret; Frey, Pascal; Martin, Francis; Duplessis, Sebastien		Laser Capture Microdissection of Uredinia Formed by Melampsora larici-populina Revealed a Transcriptional Switch Between Biotrophy and Sporulation	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				OCT	2010	23	10				1275	1286		10.1094/MPMI-05-10-0111							WOS:000281961900005	
J	Cobos, R; Barreiro, C; Mateos, RM; Coque, JJR				Cobos, Rebeca; Barreiro, Carlos; Maria Mateos, Rosa; Coque, Juan-Jose R.		Cytoplasmic- and extracellular-proteome analysis of Diplodia seriata: a phytopathogenic fungus involved in grapevine decline	PROTEOME SCIENCE																								1477-5956				SEP 9	2010	8							46	10.1186/1477-5956-8-46							WOS:000282505400001	
J	Ranea, JAG; Morilla, I; Lees, JG; Reid, AJ; Yeats, C; Clegg, AB; Sanchez-Jimenez, F; Orengo, C				Ranea, Juan A. G.; Morilla, Ian; Lees, Jon G.; Reid, Adam J.; Yeats, Corin; Clegg, Andrew B.; Sanchez-Jimenez, Francisca; Orengo, Christine		Finding the "Dark Matter'' in Human and Yeast Protein Network Prediction and Modelling	PLOS COMPUTATIONAL BIOLOGY																								1553-734X				SEP	2010	6	9						e1000945	10.1371/journal.pcbi.1000945							WOS:000282372600013	
J	Bruns, S; Seidler, M; Albrecht, D; Salvenmoser, S; Remme, N; Hertweck, C; Brakhage, AA; Kniemeyer, O; Muller, FMC				Bruns, Sandra; Seidler, Marc; Albrecht, Daniela; Salvenmoser, Stefanie; Remme, Nicole; Hertweck, Christian; Brakhage, Axel A.; Kniemeyer, Olaf; Mueller, Frank-Michael C.		Functional genomic profiling of Aspergillus fumigatus biofilm reveals enhanced production of the mycotoxin gliotoxin	PROTEOMICS																								1615-9853				SEP	2010	10	17				3097	3107		10.1002/pmic.201000129							WOS:000281905400005	
J	Grisel, N; Zoller, S; Kunzli-Gontarczyk, M; Lampart, T; Munsterkotter, M; Brunner, I; Bovet, L; Metraux, JP; Sperisen, C				Grisel, Nadine; Zoller, Stefan; Kuenzli-Gontarczyk, Marzanna; Lampart, Thomas; Muensterkoetter, Martin; Brunner, Ivano; Bovet, Lucien; Metraux, Jean-Pierre; Sperisen, Christoph		Transcriptome responses to aluminum stress in roots of aspen (Populus tremula)	BMC PLANT BIOLOGY																								1471-2229				AUG 23	2010	10							185	10.1186/1471-2229-10-185							WOS:000286414100001	
J	Hoff, B; Kamerewerd, J; Sigl, C; Mitterbauer, R; Zadra, I; Kurnsteiner, H; Kuck, U				Hoff, Birgit; Kamerewerd, Jens; Sigl, Claudia; Mitterbauer, Rudolf; Zadra, Ivo; Kuernsteiner, Hubert; Kueck, Ulrich		Two Components of a velvet-Like Complex Control Hyphal Morphogenesis, Conidiophore Development, and Penicillin Biosynthesis in Penicillium chrysogenum	EUKARYOTIC CELL																								1535-9778				AUG	2010	9	8				1236	1250		10.1128/EC.00077-10							WOS:000280577300010	
J	Baldwin, TK; Gaffoor, I; Antoniw, J; Andries, C; Guenther, J; Urban, M; Hallen-Adams, HE; Pitkin, J; Hammond-Kosack, KE; Trail, F				Baldwin, Thomas K.; Gaffoor, Iffa; Antoniw, John; Andries, Corrie; Guenther, John; Urban, Martin; Hallen-Adams, Heather E.; Pitkin, John; Hammond-Kosack, Kim E.; Trail, Frances		A Partial Chromosomal Deletion Caused by Random Plasmid Integration Resulted in a Reduced Virulence Phenotype in Fusarium graminearum	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				AUG	2010	23	8				1083	1096		10.1094/MPMI-23-8-1083							WOS:000280139800009	
J	Liang, Y; Rahman, MH; Strelkov, SE; Kav, NNV				Liang, Yue; Rahman, Muhammad H.; Strelkov, Stephen E.; Kav, Nat N. V.		Developmentally induced changes in the sclerotial proteome of Sclerotinia sclerotiorum	FUNGAL BIOLOGY																								1878-6146				AUG	2010	114	8				619	627		10.1016/j.funbio.2010.05.003							WOS:000280928100003	
J	Kim, YM; Bouras, N; Kay, NNV; Strelkov, SE				Kim, Yong Min; Bouras, Noureddine; Kay, Nat N. V.; Strelkov, Stephen E.		Inhibition of photosynthesis and modification of the wheat leaf proteome by Ptr ToxB: A host-specific toxin from the fungal pathogen Pyrenophora tritici-repentis	PROTEOMICS																								1615-9853				AUG	2010	10	16				2911	2926		10.1002/pmic.200900670							WOS:000281488000003	
J	Teutschbein, J; Albrecht, D; Potsch, M; Guthke, R; Aimanianda, V; Clavaud, C; Latge, JP; Brakhage, AA; Kniemeyer, O				Teutschbein, Janka; Albrecht, Daniela; Poetsch, Maria; Guthke, Reinhard; Aimanianda, Vishukumar; Clavaud, Cecile; Latge, Jean-Paul; Brakhage, Axel A.; Kniemeyer, Olaf		Proteome Profiling and Functional Classification of Intracellular Proteins from Conidia of the Human-Pathogenic Mold Aspergillus fumigatus	JOURNAL OF PROTEOME RESEARCH																								1535-3893				JUL	2010	9	7				3427	3442		10.1021/pr9010684							WOS:000279327500007	
J	Ma, MG; Liu, ZL				Ma, Menggen; Liu, Z. Lewis		Mechanisms of ethanol tolerance in Saccharomyces cerevisiae	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY																								0175-7598				JUL	2010	87	3				829	845		10.1007/s00253-010-2594-3							WOS:000278810200004	
J	Recorbet, G; Valot, B; Robert, F; Gianinazzi-Pearson, V; Dumas-Gaudot, E				Recorbet, Ghislaine; Valot, Benoit; Robert, Franck; Gianinazzi-Pearson, Vivienne; Dumas-Gaudot, Eliane		Identification of in planta-expressed arbuscular mycorrhizal fungal proteins upon comparison of the root proteomes of Medicago truncatula colonised with two Glomus species	FUNGAL GENETICS AND BIOLOGY																								1087-1845				JUL	2010	47	7				608	618		10.1016/j.fgb.2010.03.003							WOS:000278855300004	
J	Sun, J; Zhang, Y; Thiyagarajan, V; Qian, PY; Qiu, JW				Sun, Jin; Zhang, Yu; Thiyagarajan, Vengatesen; Qian, Pei-Yuan; Qiu, Jian-Wen		Protein expression during the embryonic development of a gastropod	PROTEOMICS																								1615-9853				JUL	2010	10	14				2701	2711		10.1002/pmic.200900846							WOS:000280615200011	
J	Klix, V; Nowrousian, M; Ringelberg, C; Loros, JJ; Dunlap, JC; Poggeler, S				Klix, V.; Nowrousian, M.; Ringelberg, C.; Loros, J. J.; Dunlap, J. C.; Poeggeler, S.		Functional Characterization of MAT1-1-Specific Mating-Type Genes in the Homothallic Ascomycete Sordaria macrospora Provides New Insights into Essential and Nonessential Sexual Regulators.	EUKARYOTIC CELL																								1535-9778				JUN	2010	9	6				894	905		10.1128/EC.00019-10							WOS:000278353600006	
J	Liang, Y; Strelkov, SE; Kav, NNV				Liang, Yue; Strelkov, Stephen E.; Kav, Nat N. V.		The Proteome of Liquid Sclerotial Exudates from Sclerotinia sclerotiorum	JOURNAL OF PROTEOME RESEARCH																								1535-3893				JUN	2010	9	6				3290	3298		10.1021/pr900942w							WOS:000278243300047	
J	Jami, MS; Barreiro, C; Garcia-Estrada, C; Martin, JF				Jami, Mohammad-Saeid; Barreiro, Carlos; Garcia-Estrada, Carlos; Martin, Juan-Francisco		Proteome Analysis of the Penicillin Producer Penicillium chrysogenum CHARACTERIZATION OF PROTEIN CHANGES DURING THE INDUSTRIAL STRAIN IMPROVEMENT	MOLECULAR & CELLULAR PROTEOMICS																								1535-9476				JUN	2010	9	6				1182	1198		10.1074/mcp.M900327-MCP200							WOS:000279396900011	
J	Dong, QW; Zhou, SG; Deng, L; Guan, JH				Dong, Qiwen; Zhou, Shuigeng; Deng, Lei; Guan, Jihong		Gene Ontology-Based Protein Function Prediction by Using Sequence Composition Information	PROTEIN AND PEPTIDE LETTERS																								0929-8665				JUN	2010	17	6				789	795									WOS:000277143400015	
J	Staschke, KA; Dey, S; Zaborske, JM; Palam, LR; McClintick, JN; Pan, T; Edenberg, HJ; Wek, RC				Staschke, Kirk A.; Dey, Souvik; Zaborske, John M.; Palam, Lakshmi Reddy; McClintick, Jeanette N.; Pan, Tao; Edenberg, Howard J.; Wek, Ronald C.		Integration of General Amino Acid Control and Target of Rapamycin (TOR) Regulatory Pathways in Nitrogen Assimilation in Yeast	JOURNAL OF BIOLOGICAL CHEMISTRY																								0021-9258				MAY 28	2010	285	22				16893	16911		10.1074/jbc.M110.121947							WOS:000277982600053	
J	Schmid, J; Muller-Hagen, D; Bekel, T; Funk, L; Stahl, U; Sieber, V; Meyer, V				Schmid, Jochen; Mueller-Hagen, Dirk; Bekel, Thomas; Funk, Laura; Stahl, Ulf; Sieber, Volker; Meyer, Vera		Transcriptome sequencing and comparative transcriptome analysis of the scleroglucan producer Sclerotium rolfsii	BMC GENOMICS																								1471-2164				MAY 26	2010	11							329	10.1186/1471-2164-11-329							WOS:000279863800003	
J	Ruiz-Roig, C; Vieitez, C; Posas, F; de Nadal, E				Ruiz-Roig, Claudia; Vieitez, Cristina; Posas, Francesc; de Nadal, Eulalia		The Rpd3L HDAC complex is essential for the heat stress response in yeast	MOLECULAR MICROBIOLOGY																								0950-382X				MAY	2010	76	4				1049	1062		10.1111/j.1365-2958.2010.07167.x							WOS:000277607600020	
J	Aoun, M; Jacobi, V; Boyle, B; Bernier, L				Aoun, Mirella; Jacobi, Volker; Boyle, Brian; Bernier, Louis		Identification and monitoring of Ulmus americana transcripts during in vitro interactions with the Dutch elm disease pathogen Ophiostoma novo-ulmi	PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY																								0885-5765				MAY	2010	74	3-4				254	266		10.1016/j.pmpp.2010.04.003							WOS:000278548100009	
J	Foley, ME; Anderson, JV; Chao, WS; Dogramaci, M; Horvath, DP				Foley, Michael E.; Anderson, James V.; Chao, Wun S.; Dogramaci, Muenevver; Horvath, David P.		Initial changes in the transcriptome of Euphorbia esula seeds induced to germinate with a combination of constant and diurnal alternating temperatures	PLANT MOLECULAR BIOLOGY																								0167-4412				MAY	2010	73	1-2			SI	131	142		10.1007/s11103-009-9569-8							WOS:000276440900012	
J	Dogramaci, M; Horvath, DP; Chao, WS; Foley, ME; Christoffers, MJ; Anderson, JV				Dogramaci, Muenevver; Horvath, David P.; Chao, Wun S.; Foley, Michael E.; Christoffers, Michael J.; Anderson, James V.		Low temperatures impact dormancy status, flowering competence, and transcript profiles in crown buds of leafy spurge	PLANT MOLECULAR BIOLOGY																								0167-4412				MAY	2010	73	1-2			SI	207	226		10.1007/s11103-010-9621-8							WOS:000276440900018	
J	Fu, JJ; Thiemann, A; Schrag, TA; Melchinger, AE; Scholten, S; Frisch, M				Fu, Junjie; Thiemann, Alexander; Schrag, Tobias A.; Melchinger, Albrecht E.; Scholten, Stefan; Frisch, Matthias		Dissecting grain yield pathways and their interactions with grain dry matter content by a two-step correlation approach with maize seedling transcriptome	BMC PLANT BIOLOGY																								1471-2229				APR 12	2010	10							63	10.1186/1471-2229-10-63							WOS:000277291600001	
J	Wang, YQ; Shen, JK; Berglund, T; Ohlsson, AB; Tang, XF; Zhou, ZK; Wu, RY; Zhou, XH; Chen, JN				Wang, Yi-Qiang; Shen, Ji-Kang; Berglund, Torkel; Ohlsson, Anna B.; Tang, Xiao-Feng; Zhou, Zhai-Kui; Wu, Ruo-Yan; Zhou, Xiao-Hui; Chen, Jie-Nan		Analysis of expressed sequence tags from Ginkgo mature foliage in China	TREE GENETICS & GENOMES																								1614-2942				APR	2010	6	3				357	365		10.1007/s11295-009-0254-5							WOS:000275976300001	
J	Nepusz, T; Sasidharan, R; Paccanaro, A				Nepusz, Tamas; Sasidharan, Rajkumar; Paccanaro, Alberto		SCPS: a fast implementation of a spectral method for detecting protein families on a genome-wide scale	BMC BIOINFORMATICS																								1471-2105				MAR 9	2010	11							120	10.1186/1471-2105-11-120							WOS:000275792700001	
J	Re, M; Valentini, G				Re, Matteo; Valentini, Giorgio		Integration of heterogeneous data sources for gene function prediction using decision templates and ensembles of learning machines	NEUROCOMPUTING																								0925-2312				MAR	2010	73	7-9			SI	1533	1537		10.1016/j.neucom.2009.12.012							WOS:000276481200047	
J	de Groot, NS; Ventura, S				de Groot, Natalia S.; Ventura, Salvador		Protein Aggregation Profile of the Bacterial Cytosol	PLOS ONE																								1932-6203				FEB 25	2010	5	2						e9383	10.1371/journal.pone.0009383							WOS:000274924300001	
J	Qin, QP; McCallum, EJ; Kaas, Q; Suda, J; Saska, I; Craik, DJ; Mylne, JS				Qin, Qiaoping; McCallum, Emily J.; Kaas, Quentin; Suda, Jan; Saska, Ivana; Craik, David J.; Mylne, Joshua S.		Identification of candidates for cyclotide biosynthesis and cyclisation by expressed sequence tag analysis of Oldenlandia affinis	BMC GENOMICS																								1471-2164				FEB 16	2010	11							111	10.1186/1471-2164-11-111							WOS:000275628200001	
J	Kanapin, AA; Mulder, N; Kuznetsov, VA				Kanapin, Alexander A.; Mulder, Nicola; Kuznetsov, Vladimir A.		Projection of gene-protein networks to the functional space of the proteome and its application to analysis of organism complexity	BMC GENOMICS																								1471-2164				FEB 10	2010	11			1				S4	10.1186/1471-2164-11-S1-S4							WOS:000276821100004	
J	Tisch, D; Schmoll, M				Tisch, Doris; Schmoll, Monika		Light regulation of metabolic pathways in fungi	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY																								0175-7598				FEB	2010	85	5				1259	1277		10.1007/s00253-009-2320-1							WOS:000273743000004	
J	Chagoyen, M; Pazos, F				Chagoyen, Monica; Pazos, Florencio		Quantifying the biological significance of gene ontology biological processes-implications for the analysis of systems-wide data	BIOINFORMATICS																								1367-4803				FEB 1	2010	26	3				378	384		10.1093/bioinformatics/btp663							WOS:000274342800012	
J	Reid, AJ; Ranea, JAG; Orengo, CA				Reid, Adam J.; Ranea, Juan A. G.; Orengo, Christine A.		Comparative evolutionary analysis of protein complexes in E. coli and yeast	BMC GENOMICS																								1471-2164				FEB 1	2010	11							79	10.1186/1471-2164-11-79							WOS:000275627000001	
J	Albrecht, D; Guthke, R; Brakhage, AA; Kniemeyer, O				Albrecht, Daniela; Guthke, Reinhard; Brakhage, Axel A.; Kniemeyer, Olaf		Integrative analysis of the heat shock response in Aspergillus fumigatus	BMC GENOMICS																								1471-2164				JAN 15	2010	11							32	10.1186/1471-2164-11-32							WOS:000274643500001	
J	van Zutphen, T; Baerends, RJS; Susanna, KA; de Jong, A; Kuipers, OP; Veenhuis, M; van der Klei, IJ				van Zutphen, Tim; Baerends, Richard J. S.; Susanna, Kim A.; de Jong, Anne; Kuipers, Oscar P.; Veenhuis, Marten; van der Klei, Ida J.		Adaptation of Hansenula polymorpha to methanol: a transcriptome analysis	BMC GENOMICS																								1471-2164				JAN 4	2010	11							1	10.1186/1471-2164-11-1							WOS:000275278900001	
J	Pandolfi, V; Jorge, EC; Melo, CMR; Albuquerque, ACS; Carrer, H				Pandolfi, V.; Jorge, E. C.; Melo, C. M. R.; Albuquerque, A. C. S.; Carrer, H.		Gene expression profile of the plant pathogen Fusarium graminearum under the antagonistic effect of Pantoea agglomerans	GENETICS AND MOLECULAR RESEARCH																								1676-5680					2010	9	3				1298	1311		10.4238/vol9-3gmr828							WOS:000280397000003	
S	Shi, Y; Hasan, M; Cai, ZP; Lin, GH; Schuurmans, D		Wu, WL; Daescu, O		Shi, Yi; Hasan, Maryam; Cai, Zhipeng; Lin, Guohui; Schuurmans, Dale		Linear Coherent Bi-cluster Discovery via Beam Detection and Sample Set Clustering	COMBINATORIAL OPTIMIZATION AND APPLICATIONS, PT 1	Lecture Notes in Computer Science			4th Annual International Conference on Combinatorial Optimization and Applications	DEC 18-20, 2010	Kailu Kona, HI	Univ Texas Dallas, Univ Hawaii Hilo, Natl Sci Fdn																	0302-9743	978-3-642-17457-5				2010	6508		Part i			85	103									WOS:000296483000009	
S	Re, M; Valentini, G		El Gayar, N; Kittler, J; Roli, F		Re, Matteo; Valentini, Giorgio		An Experimental Comparison of Hierarchical Bayes and True Path Rule Ensembles for Protein Function Prediction	MULTIPLE CLASSIFIER SYSTEMS, PROCEEDINGS	Lecture Notes in Computer Science			9th International Workshop on Multiple Classifier Systems	APR 07-09, 2010	Cairo, EGYPT	Int Assoc Pattern Recognit, Informat Technol Ind Dev Agcy, Microsoft Innovat Lab Cairo, Nile Univ, Univ Surrey, Univ Cagliari																	0302-9743	978-3-642-12126-5				2010	5997					294	303									WOS:000278807600030	
J	Yu, L; Gao, L; Sun, PG				Yu, Liang; Gao, Lin; Sun, Peng Gang		A hybrid clustering algorithm for identifying modules in Protein-Protein Interaction networks	INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS																								1748-5673					2010	4	5				600	615									WOS:000284336400008	
J	Li, M; Wang, JX; Chen, JE; Cai, Z; Chen, G				Li, Min; Wang, Jianxin; Chen, Jianer; Cai, Zhao; Chen, Gang		Identifying the overlapping complexes in protein interaction networks	INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS																								1748-5673					2010	4	1				91	108									WOS:000274810900006	
J	Khan, A; Bassett, S; Voisey, C; Gaborit, C; Johnson, L; Christensen, M; McCulloch, A; Bryan, G; Johnson, R				Khan, Anar; Bassett, Shalome; Voisey, Christine; Gaborit, Charlotte; Johnson, Linda; Christensen, Mike; McCulloch, Alan; Bryan, Gregory; Johnson, Richard		Gene expression profiling of the endophytic fungus Neotyphodium lolii in association with its host plant perennial ryegrass	AUSTRALASIAN PLANT PATHOLOGY																								0815-3191					2010	39	5				467	476		10.1071/AP09084							WOS:000280492400011	
J	Ruepp, A; Waegele, B; Lechner, M; Brauner, B; Dunger-Kaltenbach, I; Fobo, G; Frishman, G; Montrone, C; Mewes, HW				Ruepp, Andreas; Waegele, Brigitte; Lechner, Martin; Brauner, Barbara; Dunger-Kaltenbach, Irmtraud; Fobo, Gisela; Frishman, Goar; Montrone, Corinna; Mewes, H. -Werner		CORUM: the comprehensive resource of mammalian protein complexes-2009	NUCLEIC ACIDS RESEARCH																								0305-1048				JAN	2010	38			1		D497	D501		10.1093/nar/gkp914							WOS:000276399100080	
